userRequest,actionReferenceIds,agentResponse,category,conversationUrl,createdAt,externalUrl,handleTime,humanAgents,humanAgentsWithInserts,incompleteActionReferenceIds,insertCount,integration,mavenAppId,metadata,quality,qualityScoreReason,referenceId,resolutionStatus,responseLength,responseType,sentiment,tags,thumbsDownCount,thumbsUpCount,timeToFirstResponse,userIdentifiers,userNames
User's TiVo model TCD746500 is not connecting after vacation and requests a call for assistance.,escalate-to-agent,Agent provided troubleshooting steps for the TiVo connection issue and offered to connect the user to a live support agent since they requested a call.,Internet Connectivity Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGeBywDLEDsj4LZ1TNa3EYGnhTscCLdg7tmqswEUeln6cjEPBXHIof5dZkWtpGgJtjWG196M2dlc,2025-02-04T16:19:19.261209Z,,2m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,Oi53LIp7f3DzMk1ORJbCz,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,MIXED,,0,0,,,
User inquired about CableCARD.,,"The agent explained the purpose of a CableCARD, how to obtain one, FCC regulations, and installation instructions for a TiVo device.",Cablecard Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGkzpwGGeSLCcDFPSlD6qTzOqMKJmkYbqclgWxW395PE1LNSA057RKSbUQg1EzgEdpmBbjtapFe0,2025-02-04T16:18:34.831506Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,zNS9GseF6VgV1zMoWtZ12,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The user requested to speak to a human.,escalate-to-agent,The agent provided a button for the user to connect with a human support agent.,User Support Request,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjQzDMQiHLQLVELqYKjhogeEiAC39JySZt9iwBYPMGddkPdwnDwLbkhQggaSOS3dbPLTo3cjKIm,2025-02-04T16:08:54.849419Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,puA_vsZM-A9QyKdQwkpoz,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User wants to transfer lifetime service to another TiVo device.,,"Agent provided steps for transferring TiVo lifetime service, including eligibility and actions for both original and new owners.",Service Transfer Requests,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGZa18fouOfs57UeIrojGEmVyIu3u80sAuU9y996cadHpT6zZdnDzPchqcH8p0BM3QJoKmgAODNE,2025-02-04T16:00:47.065595Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,2UdhL7ZvQkbAl4Iet9FC2,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,1,0,,,
User asked how to transfer recordings from TiVo to another device.,escalate-to-agent,Agent provided step-by-step instructions for transferring recordings between TiVo DVRs and noted important limitations.,TiVo Recording Transfer,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGfwOfvcwI1LmCV5XCq60p4GwpiIXE4lWOYP01LnOENi66R76r9ebrj8Fxptn13PzGxJv3QzimHc,2025-02-04T15:58:54.716049Z,,1m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,ZoPYqUPkkfqTwfuWkaqKk,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User asked how to transfer recordings from TiVo to another device.,,"Agent provided step-by-step instructions for transferring recordings between TiVo DVRs, including limitations and a link for more details.",TiVo Recording Transfer,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGds2lhijAxa5jiqPra02mSUTBAutwg55tsTqwNQH0fJzxjTmGt3O6dVw6Oa5FgJRG1WP0CJeKsW,2025-02-04T15:56:35.313452Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,Mb4rB8X5oweEC-ylFxRsv,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
"Reported V58 error on TiVo Edge, seeking assistance.",,"Provided troubleshooting steps for V58 error, including checking CableCARD insertion, coaxial cables, and subscription status.",Error Messages,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGkpjCoMDooEJOghDYetP6J4E8iyQcKvAmyGmBwZhCvpa60SMCO5toF2Qry4TNnaYJEcUgimN7Ku,2025-02-04T15:52:09.913955Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,yG1QTPhdoqbUJ6qgFh6_9,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,MIXED,,0,0,,,
"User requested program information for Channel 8.6, PBS World in Houston.",,"Agent provided steps to check channel lineup, update guide data, and customize guide options. Suggested contacting the station for data updates.",Program Information Request,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGf6gkbWgxjaneZhQ292gh1fz6QfHeIWyM4eGmXrGkNtlpqt9l4egfnznhSl1xAiUYVG7hzI2Gpg,2025-02-04T15:48:15.159958Z,,16m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,U-PRa8wLtqrImM_ciD2l-,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,POSITIVE,,1,0,,,
User wants to speak with someone regarding the guide.,escalate-to-agent,Agent will connect the user to a support agent for further assistance.,Customer Support Interaction,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGZPn6EK9biHx0IdU8bSCXcMNkWcc0DpTC9JbXlqmrJsCmxQObWssSgebw4InEk4i5hFEiy5Lwgu,2025-02-04T15:44:10.341993Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,1K15FSmv7ER1fg131eGeh,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
Tivo device not working; user received a message about a serious problem.,escalate-to-agent,"Agent provided troubleshooting steps including waiting, power cycling, checking connections, and suggested contacting support for further assistance.",Device Malfunction,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGclFQ5zE74yFpeoezjywQN40cNcnHFi4J3mw9HmPu0AzgL7eHFgX6iVB1aIqRGqKMmRlhaR9uA0,2025-02-04T15:43:48.141865Z,,1m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,FchuWTQsy3zGI_sJGa3rl,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User is experiencing a temporary problem with internet on their Bush TV related to TiVo and seeks assistance to resolve it.,,"Agent requested clarification on the specific TiVo product being used, but the user indicated they are not using any TiVo products. The agent suggested checking for any connected TiVo devices or consulting the TV's manual or manufacturer for further assistance.",Internet Connectivity Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGaX8vlgFac9lvDDYbsYyCPoSEM5uGXmcB2tEKxY3ZOM1ROG0UIkxbHIIC2UXztOHNUAYvqRK4VI,2025-02-04T15:39:23.682385Z,,1m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,MISSING_USER_CONTEXT,8XwockF-9hFSBB83tkqkd,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User's BOLT TiVo remote is not working despite changing batteries. User also asked how to pair the remote and how to get a new one.,,"Agent provided troubleshooting steps for the remote, including a global reset, checking for interference, switching modes, and pairing instructions. Agent also directed the user to the TiVo Store for purchasing a new remote.",Remote Control Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjaMpguu35oRr7xxXJGl4r4wGEQJsmARwTe4p7bz1xCNka8Cey1XQ1sBOdwsItfnMX1sz06krcy,2025-02-04T15:33:20.910809Z,,2m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,qirJpkb9W6mFSS_HUPYSG,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User asked how to cancel their account.,,Agent provided detailed steps to cancel TiVo service and mentioned contacting support if issues arise.,Account Management,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGexyL5z9V9kQWuZ5dsv8M7rqCA00dxivkRsaVScJptP5JHffUbTGALr6Xtwk699n1IYJu6kFpxs,2025-02-04T15:22:00.332236Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,TJlZPV0yJGtYesodB8CUE,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User requested to cancel their account but couldn't access it.,escalate-to-agent,"Agent provided cancellation steps, then offered to connect the user to support when access issues were mentioned. Finally, the agent provided the TiVo Support phone number.",Account Cancellation,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGiRRl5zxL4BljQzNjNrk1WBCWhW5l4H1p6ji5JUJSEJQPEvNL0pPXIvrQd6d9yOPzwUKrSeLax2,2025-02-04T15:15:36.189293Z,,6m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,j3XMahg5DahmOTB8WCi11,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User's remote for TiVo DVR is not working despite changing batteries.,escalate-to-agent,"Agent provided troubleshooting steps for the TiVo DVR remote, but the issue persisted. User was connected to a support agent for further assistance.",Remote Control Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcR4mMPCcNtANm0tEXJyY76eAgVreotFI4uQsybn9LOL1dpkmSQ9WhPoT24KYBdraeDB7yyRByO,2025-02-04T15:14:22.570387Z,,3m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,DVTNoOavzxnCSRxgcq-GT,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User repeatedly requests to cancel their account.,escalate-to-agent,Agent provides cancellation steps and offers to connect the user to a support agent for further assistance.,Account Cancellation,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGdqHOnF9PfVzbwpTsXz91MqlEPSYYZc86xRqcOkO6fwcNRWZ7NLO1xmKDrXUPhg3Swx3Zy3Fmse,2025-02-04T15:11:10.411678Z,,3m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,M4ILSu67jpcbdB0-h6563,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
"Unable to do OTA channel scan, waiting on software update.",escalate-to-agent,"Provided steps to check software version, force a connection, restart the device, and complete Guided Setup. User indicated they already tried these steps.",OTA Update Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjGQeSZwoyvW4OYHLbDgeWQ25T7S0j9QKJk64EA7HrD7AC1VJGKsDzSGp8wCQBx6UDGpp7nV1zo,2025-02-04T15:03:24.667143Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,obpIQdY6ZIavM4Z8qrbVD,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,1,0,,,
"The user asked if the TiVo Stream 4K allows access to channels like CNBC, Food Network, Nat Geo, and Discovery.",,"The agent provided information about the TiVo Stream 4K, explaining that access to channels like CNBC, Food Network, Nat Geo, and Discovery depends on the streaming services subscribed to via Google Play apps.",Channel Access Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGZFa7fFLrfm4vTgJEJlrcubsg5GL2Bbuv1nPvXGV0NXlDFGEi87gLoTv8i4H9BJojGE0PaT4g5c,2025-02-04T14:59:00.874563Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,0Ap6KakcneAi6_eKc8ir2,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User asked if Sharp TV model 4T-C43GK with TiVo version 11.457.51 supports accessibility features.,,Agent stated they don't have information on the Sharp TV model's accessibility features but can assist with TiVo-related questions.,Accessibility Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjtl5goKIGW85DtHOcOCGUftxaZS4P04Hawls7qaNAJAGPUgNmyKEvk3wzxh93bm88f8aTcMrEi,2025-02-04T14:51:11.576731Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,MISSING_GENERAL_KNOWLEDGE,sb64aznN3V7xMo4t7Kg2u,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,POSITIVE,,1,0,,,
Inquired about returning the box if service is canceled.,escalate-to-agent,Explained return policy for TiVo device upon cancellation and provided a link for more details.,Service Cancellation Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjaFFZa1f94UPAbZvQDuLJ8GDvD40oJkFbp80sKVOgs3t3d6KAkyqpiN3im8TQ7iRxi9DRumHS8,2025-02-04T14:50:57.999376Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,qfCOiwAz9QHoKj5wllkoI,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User cannot find their recordings on the TiVo Roamio and sees unfamiliar recordings instead.,escalate-to-agent,"Provided troubleshooting steps for locating recordings on the TiVo Roamio, including checking My Shows, recording conflicts, and settings. Suggested connecting to a support agent for further assistance.",Technical Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGeKyVakWSxNt3yxz4RwaLKg14yjYJyzWdBSirxbczFkHMGyxj9u6Ekvx0TB4SWuSSwYDV1C6TYK,2025-02-04T14:47:45.265840Z,,10m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,PSMtsVbOCXTj2FUoZCssW,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,POSITIVE,,0,0,,,
"User inquired about disabling, activating, troubleshooting CableCARD, and using TiVo without a CableCARD.",,"Agent provided steps for disabling, activating, and troubleshooting CableCARD issues, and explained how to use TiVo without a CableCARD.",Cablecard Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhN1X82VdNEb5uvs57Z6qRQtUAXwsPoR1Y8vR07z5SDBS31lLcvvkudUAK7eNXUIFR8Mf7v8urE,2025-02-04T14:46:10.719348Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,crQEDSR5fqpVjZ_xrPgxZ,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,1,0,,,
User requested to cancel their account and expressed difficulty accessing it.,escalate-to-agent,"Agent provided password reset instructions, then offered to connect the user to a support agent for account cancellation.",Account Management,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcZeDkBer5AIp7x6afCUfojC6vtolqwFz1YJMFMAYFZvoYu0ZCqbWLx2CbJeiNABrYaoWBCqNUK,2025-02-04T14:44:53.484254Z,,9m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,E5t2IMTBp93Roc3A1Lc53,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User reported all lights flashing on TiVo and asked for further assistance if the lights keep flashing.,escalate-to-agent,Provided troubleshooting steps for flashing lights on TiVo and offered to connect the user to a support agent if the issue persists.,TiVo Recording Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhy3wqvC15jI8LUgd8snk6MALnPGwnIGuuqetg86MXD7JFX9fBSwxgj1sz0ByLHLorJxbKyoZd6,2025-02-04T14:37:41.441044Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,g6vFIsgXUMvAg3SSmtiX3,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The customer requested a phone number.,escalate-to-agent,The agent offered assistance with TiVo products but did not provide the requested phone number. They then attempted to connect the customer to a support agent.,Contact Information Update,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcu9nRjgHolJBOFfv94WjyKuqJf0Pox5xjuC9PKIa14gSL6YP2RtsPfFtx7XMlxngqA5qpbGVGe,2025-02-04T14:27:22.246252Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,GKRui0kF-O_fqKzt9Bc1a,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User is having trouble changing their credit card and asks how to update credit card information.,,Agent provided troubleshooting steps for changing credit card information and detailed instructions on how to update credit card information on the TiVo account.,Credit Card Management,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGkMxoR4Xbr7WYEvNqfInP9QvsGTw5onM1z1KjWRTPMl1HKVfEmfyKWUMrFT7Pmi3AcdzZnTzbFs,2025-02-04T14:17:36.527412Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,vZpifOtABJGmxo8aPH-TS,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
