Customer's Question,Collections,Content,Original Source URL
When will be the renewal of my service?,Service Plan,"The renewal of your service defends on your subscribe service plan. 

If you are paying monthly, your first year is tied-up to a 1 year commitment. After the commitment period, you will be billed the same amount monthly.

If you are on Annual service, your service will automatically renew annually.

If you have All-in Plan service, your service does not renew. It will lasts for the lifetime of your device.",TiVo Service Plans and Policies: Essentials
What is your current promotion?,Promotion,"To view our current promotion, you can visit tivo.com/shop. Click Deals on the left hand side.","Internal KDB
tivo.com/shop"
What is Limited and Continual Care warranty?,Warranty,"The TiVo Limited Warranty covers the first 90 days of free labor and exchange of your new TiVo direct purchases. 

The Continual Care Program provides you a reduced cost replacement device for your purchased as new TiVo DVR or TiVo Mini before January 5, 2024. This program steps in after the Limited Warranty is consumed.",Xperi Legal Center
Why TiVo discontinued supporting Fandango?,Streaming Apps,"Fandango use an older software architecture that are not compatible with the current software version. 

You can check other streaming apps through <insert Streaming App link>.",Streaming Apps
Will TiVo work without cable?,Product,"It is possible. If your TiVo device is OTA compatible, you can get an outdoor/indoor antenna to get free channels. 

You can also use your TiVo as a streaming device to enjoy streaming services such as Netflix.",TiVo Service Number and Model Number Table
Is there an alternative options for TiVo not using CableCARD?,Product,"If your TiVo device is OTA compatible, you can get an outdoor/indoor antenna to get free channels. 

You can also use your TiVo as a streaming device to enjoy streaming services such as Netflix.",TiVo Service Number and Model Number Table
Will TiVo work without internet?,Troubleshooting,"In order to download the current Guide Data, record, watch streaming shows and enjoy other TiVo features, an internet connection is necessary.",Networking: Essentials
Can I change my router without affecting TiVo?,Troubleshooting,"Yes, you can. After changing your router/network, you need to re-configure the network setting on your TiVo to use your new router/network.",Networking: Essentials
What is my current plan?,My Account,You can check your existing subscription/s by signing in to My Account.,My Account Management Tools
How do I transfer my device from one account to another?,My Account,"In order to transfer a device from your account to another, you need to call Customer Support @ 877-367-8486 Monday - Friday 8am - 5pm, Pacific Time.",How to Transfer a TiVo Device to a New Owner
How to remove a device from my account? (AIP),My Account,"We do not encourage our customers to remove their devices from their account. However, if there is a neccessity to remove the device, you need to create a secondary account to move your devices. Once the secondary account is created, call our Customer Service @ 877-367-8486 Monday - Friday 8am - 5pm, Pacific Time.",Internal KDB: How to Remove Devices from a Customer's Account
How can I reach your Phone Support?,General inquiry,"You can contact our Customer Phone Support at 877-367-8486 during Monday-Friday, 8am - 5pm Pacific.",https://tivoidp.tivo.com/tivoCommunitySupport/s/contactus?language=en_US
How do I activate my TiVo?,Service,"Once you made a TiVo purchase, your device is pre-activated when you receive it. 

For devices that requires activation, sign in to My Account. Next, open Account Overview on the left hand side, look for Activate Devices under Devices section.",How to Activate Service on a TiVo DVR
Why can't I skip the ads?,Feature,"The SkipMode feature is available on the top 20 most-watched networks and more channels will be added in the future. The shows that will be SkipMode-enabled are those that appear during the most common recording hours: seven days a week, between the hours of 3:00 p.m. and before 12:00 a.m. for late night talk shows airing on ABC, NBC, and CBS). Recorded shows with the SkipMode feature appear in your My Shows lists with GREEN SKIP icon.",SkipMode
Is it possible to speak to you live?,General inquiry,"You can speak to our Live Customer Support by calling 877-367-8486 Monday - Friday 8am - 5pm, Pacific Time.",https://tivoidp.tivo.com/tivoCommunitySupport/s/contactus?language=en_US
How do I connect the Mini to a different DVR?,Troubleshooting,"To connect your TiVo Mini to a different DVR, make sure both devices are on the same billing account and on the same network. Make sure the other DVR has an active service plan.",How to Use Multi-Room Streaming
How do I transfer recordings to a new DVR?,Troubleshooting,"Both devices must have an active service.

To transfer your recordings online, visit online.tivo.com. You need to sign in to access the list of your TiVo devices. 

Look for Transfer Recordings tab. Select the source DVR from the ""From DVR"" dropdown. Next, select your destination DVR from the ""To DVR"" dropdown. Select Transfer to begin transferring your recordings.  ",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/TiVo-Online?language=en_US
"I have a new remote, how do I pair it to my TiVo?",Remote Control,"To pair your new remote, put your TiVo DVR into a pairing state. Go to the Remote Control Pairing screen. Select the Pair Your TiVo Remote option.",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/TiVo-Remotes-RF-Pairing-Instructions?language=en_US
Can you ship the replacement DVR overnight?,Shipping FAQs,Orders are processed and shipped within 24 hours. You can choose a 1-day air shipping option and shipping fee applied. Fees may vary. ,https://tivoidp.tivo.com/tivoCommunitySupport/s/article/TiVo-Store-Orders-Ordering-Shipping?language=en_US
How can I watch recordings from another room?,Troubleshooting,"You can watch your recordings through the following: 

*TiVo App on your phone or tablet. 
*TiVo online on your laptop or computer
*Install a TiVo Mini ",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/How-to-Use-Multi-Room-Streaming?language=en_US
Can I record multiple shows at the same time?,Troubleshooting,Yes. You can set multiple shows to record at the same time.,https://tivoidp.tivo.com/tivoCommunitySupport/s/article/How-to-Change-Recording-Options?language=en_US
Why is my recording cut short?,Troubleshooting,"There are several reasons why the beginning or ending of a recording may be cut off. It will help determine why a recording may have been cut off if you first view the Program Details screen. You may see ""(Partial)"" listed next to the duration of the recording.

 
*If someone changed the channel during the recording, the end of the program would have been cut off.
*If power was lost, part of the recording will be missing or cut off.
*If the video signal was lost during the recording, part of the recording will be missing or cut off.
*If your TiVo device has CableCARDs installed and an Emergency Alert Message was in progress when the recording was supposed to start, the beginning of the recording will be missing.",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/The-Beginning-or-End-of-My-Program-Was-Cut-Off-Troubleshooting?language=en_US
How do I dispose my old TiVo?,General Inquiry,"You can recycle your TiVo by going to your local recycling facilities near you. Before you recycle your TiVo DVR, we recommend that your clear and delete everything to wipe out all your data.",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/Recycle-Your-TiVo-DVR-FAQ?language=en_US
How to turn my TiVo off?,General inquiry,"We do not recommend to turn your TiVo off. Your DVR must always be on to record OnePasses/Season Passes and other scheduled recordings. 

Unplugging the DVR may cause missed recordings, low/no program data, and longer service connections.",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/Does-my-TiVo-DVR-Always-Need-to-be-Turned-On?language=en_US
I am trying to put my DVR on standby but I don't know how to do it.,General inquiry,"To put your TiVo on standby mode, you need to access the TiVo menu screen. If your device is running the TiVo Experience 3 from TiVo Central select Settings and Messages then select Standby.

If your device is running TiVo Experience 4, from Home select the green power button on your screen, select Enter Standby option.",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/Power-Saving-and-Standby-Modes?language=en_US
"The text captions on my TiVo is too big, can I adjust the size of the text?",Accessibility,"Your TiVo device offer several options to customize the appearance and improve the readability of Closed Captioning text.  

Access the Closed Captioning menu options so you can choose your preferred setting.",https://tivoidp.tivo.com/tivoCommunitySupport/s/article/Accessibility-Closed-Captioning?language=en_US
